Wie heißt der zeithöchste Berg der Welt?;K2;Nanga Parbat;Mount Everest;Aconcagua
Das Korallenriff "Great Barrier Reef" liegt vor der Küste?;Australiens;Afrikas;Mexikos;Indiens
Wie heißt die berühmte Tempelanlage im Nordwesten von Kambodscha?;Angkor Wat;Machu Picchu;Chichèn Itza
An welchem südafrikanischen Kap treffen sich Atlantik und Indischer Ozean?;Kap Agulhas;Kap Arkona;Kap Adare;Kap Anamur
Im Zentrum welcher Stadt liegt der Trafalgar Square?;London;New York;Los Angeles;Sydney
Wo in Berlin steht das Brandenburger Tor?;Pariser Platz;Friedrich-Wilhelm-Platz;Alexander Platz;Bahnhofsplatz
Wie heißt die Hauptstadt von Südafrika?;Pretoria;Nairobi;Windhoek;Gaborone;
Wie heißt die Hauptstadt der Mongolei?;Ulan Bator;Daressalam;Mogadischu;Djakarta
Was haben die Landesflaggen von Japan und Bangla Desh gemeinsam?;den roten Kreis;die grüne Hintergrundfarbe;die weisse Hintergrundfarbe;den weissen Kreis
Welches Gebäude übernahm 2009 den 1. Platz als höchstes Gebäude der Welt?;Burdj Chalifa;Taipeh 101;Willis Tower;CN Tower
Welches Wahrzeichen in Barcelona ist schon seit 120 Jahren eine eindrucksvolle Baustelle?;Sagrada Familia;Barri Gòtic;Casa Milà;La Boqueria
Wie heißt die größte Insel Deutschlands?;Rügen;Poel;Sylt;Amrum
In welcher Stadt kann man die "Spanische Treppe" bewundern?;Rom;Athen;Istanbul;Madrid
Welche italienische Stadt liegt am Fuße des Vulkanes Vesuv?;Neapel;Mailand;Palermo;Florenz
Wo kann man auf dem "Piazza San Marco" spazieren gehen?;Venedig;Florenz;Rom;Mailand
Wie lang ist die Gesamtstrecke der Transsibirischen Eisenbahn?;9288km;6918km;7856km;8523km
In welcher Stadt befindet sich die größte Stierkampfarena der Welt?;Mexiko-Stadt;Madrid;Palermo;Sevilla
Wie heißen die bekanntesten Steilklippen Irlands?;Cliffs of Moher;Cliffs Burton;Cliffs Richard;Montogmery Cliffs
Die "Goldene Stadt" ist...?;Prag;Bukarest;Budapest;Wien
In welchem US-Staat liegt der Yosemite-Nationalpark?;Kalifornien;Utah;Nevada;Arizona
In welchem Land bezahlt man mit Złoty?;Polen;Kasachstan;Tschechien;Ukraine
Wenn man durch das Stadtviertel Fatih schlendert befindet man sich in...?;Istanbul;Rio de Janeiro;New-Delhi;Kairo
Pamukkale ist eine der größten Sehenswürdigkeiten in...?;der Türkei;Marokko;Tunesien;Griechenland
In welcher Stadt ist das "Männeken Pis" eines der Wahrzeichen?;Brüssel;Paris;Amsterdam; Brügge
Wie lautet der Spitzname der Stadt New York?;Big Apple;Big Liberty;Big Peach;Big City
Bei welcher indischen Stadt befindet sich das berühmte Grabmal "Taj Mahal"?;Agra;New-Dehli;Mumbai;Madras
Langeland ist Teil der sogenannten ...?;Dänischen Südsee;Finnischen Bodden;Schwedischen Südsee;Dänischen Nordsee
Welches ist das bevölkerungreichstes Land der Erde?;China;USA;Indien;Indonesien
In welchem US-Bundesstaat liegt Los Angeles?;Kalifornien;New Jersey;Utah;Florida
Welcher Fluss fließt durch Florenz?;Arno;Tiber;Po;Busento
In welchem Monat beginnt auf der Südhalbkugel der Erde der Frühling?September;März;Juli;Dezember
Wo befindet sich das Riff Valley - ein riesiger Riss in der Erdkruste?;Kenia;Venezuela;Australien;Mexiko
Wie heißt der höchste Berg Ozeaniens mit 5030 m Höhe?;Puncak Jaya;Vogelkopf;Glenmore Hill;Mount Snowdon
Wo ist die Region der "Ramsau"?;Österreich;Bayern;Baden-Würtenberg;Schweiz
Welcher Entfernung entspricht eine internationale nautische Seemeile?;1852 km;1453 km;1652 km;2052 km
Die Altstadt von Salzburg in Österreich wird von drei Bergen umgeben. Welcher der folgenden Berge begrenzt sie nicht?;Hohensalzberg;Mönchsberg;Festungsberg;Kapuzinerberg
Welcher dieser US-Bundesstaaten liegt nicht an der Ostküste?;Washington; New Jersey; Maine; Florida
Die Meerenge zwischen Alaska und Sibiren heißt?;Beringstraße;Perlenweg;Ärmelkanal;Manellanstraße
Welcher Fluss wird durch den "Hoover Damm" gestaut?;Colorado;Ohio;Mississippi;Missouri
In welchem Land befindet sich der Zwergstaat "San Marino"?;Italien;Spanien;Portugal;Frankreich
In welchen Fluss fließt die "Mur"?;Drau;Rhein;Main;Donau
"Murano" ist ein Stadtteil welcher italienischen Großstadt?;Venedig;Mailand;Rom;Florenz
Die historische Provinz "Murcia" ist in welchem Land?;Spanien;Peru;Mexico;Brasilien
Welches dieser Länder liegt nicht auf dem gleichen Breitengrad wie die anderen drei?;Afghanistan;Pakistan;Assam;Indien
In welchem Land ist das "Sagrosgebirge"?;Iran;Irak;Armenien;Afghanistan
Wo ist das vulkanische Bergland des "Ahaggar"?;Sahara;Negev;Gobi;Kalahari
Zu welchem französischen Departement gehört die Stadt Saint-Etienne?;Loire;Rhone;Seine;Garonne
Wie hoch ist die New Yorker Freiheitsstatue inklusive Sockel?;93m;126m;89m;111m
Welche Insel wurde als Mondinsel bezeichnet?Madagaskar;Sri Lanka;Mallorca;Grönland
Welches ist die zweitgrößte Insel der Erde?;Neuguinea;Grönland;Sumatra;Madagaskar




